# http://edd.ifa.hawaii.edu/
# http://edd.ifa.hawaii.edu/dfirst.php
"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"
pgc|Dist|Glon|Glat|Vhel|Name
%7s|%6.2f|%8.4f|%8.4f|%5d|%10s
---|Mpc|deg|deg|km/s|
"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Galactic longitude"|"Galactic latitude"|"Heliocentric velocity"|"Common name"
1351|76.21|113.7906|-39.9768|5736|NGC0080
1362|70.15|113.9678|-39.2556|5740|UGC00204
1371|83.18|113.8635|-39.9082|6227|NGC0083
1372|56.75|112.7606|-44.9356|5290|UGC00205
1375|56.23|113.8942|-39.8328|6194|NGC0085
1382|89.13|113.9104|-39.8398|5813|NGC0085B
1384|106.66|113.9502|-39.7571|6634|PGC001384
1387|95.94|115.2015|-32.7600|7029|UGC00207
1407|63.39|113.9422|-40.3495|5749|IC1548
1413|71.45|114.3225|-38.6436|4493|UGC00210
1426|59.70|111.2922|-51.7187|5384|NGC0095
1439|91.20|115.4125|-32.9437|7090|UGC00215
1461|113.24|110.3726|-55.3553|7551|AGC100203
1462|110.66|114.6145|-38.2570|12533|AGC100202
1472|211.84|114.8373|-37.2113|12187|AGC100204
1474|108.14|69.1380|-81.8181|7372|ESO539-012
1478|87.90|113.0533|-46.0716|5258|UGC00219
1511|64.57|112.9847|-47.6533|5331|UGC00226
1520|85.51|114.9610|-38.1401|5708|UGC00228
1524|110.66|115.2165|-36.7985|7376|AGC100215
1525|18.45|113.4784|-45.8820|843|UGC00231
1552|58.61|116.0212|-32.9531|4668|UGC00234
1572|70.15|116.3473|-31.1894|6801|UGC00238
1577|95.94|111.2725|-55.7851|8674|UGC00240
1582|90.36|111.4482|-55.5841|8946|PGC001582
1583|58.08|113.0916|-49.4875|5185|NGC0105
1588|110.66|321.5027|-74.5742|8025|ESO294-009
1594|55.46|115.4895|-37.6853|4550|UGC00244
1609|70.15|107.9639|-64.4088|5329|AGC400228
1621|156.31|113.6851|-48.0662|11188|UGC00247
1641|2.00|320.4155|-74.4172|113|ESO294-010
1651|28.71|340.4922|-81.5675|1831|AGC020302
1654|86.70|116.8294|-30.8764|6294|UGC00255
1658|53.21|118.9045|-12.6493|5173|UGC000256
1665|29.11|113.4480|-50.8383|2134|UGC00260
1713|56.75|109.6292|-63.4602|3917|UGC00272
1714|26.18|111.4995|-58.8709|1385|AGC100244
1715|44.87|109.3683|-64.0597|4066|NGC000124
1723|42.27|111.2116|-59.8294|4404|UGC00275
1736|84.33|117.0725|-31.8045|6277|UGC00279
1743|130.62|116.6566|-35.2211|9593|UGC00278
1748|63.97|111.4103|-59.8275|4290|UGC00281
1754|76.56|117.4493|-29.3559|4744|UGC00284
1758|76.21|117.1984|-31.4615|6095|AGC100254
1777|6.82|118.6330|-19.2541|188|UGC288
1781|12.76|115.1120|-46.6338|766|UGC00290
1797|97.72|117.4271|-31.2535|6350|UGC00294
1802|44.67|114.4548|-50.9115|5210|PGC001802
1814|37.15|111.2743|-61.9671|4150|AGC100271
1828|121.90|117.5530|-31.2532|6315|UGC00299
1851|19.95|338.3100|-82.3776|1583|NGC000134
1879|104.71|5.7882|-84.9373|7273|ES410-016
1908|95.06|108.0656|-70.1273|6119|AGC400257
1911|130.62|76.7855|-83.5346|8052|NGC0143
1913|50.35|117.6389|-33.6712|4653|UGC00310
1921|53.70|114.4661|-54.0753|4371|UGC00312
1926|97.72|90.0325|-81.3278|7095|ES539-014
1927|42.27|114.4893|-54.1438|4268|UGC00314
1932|47.42|106.2880|-72.7334|3555|PGC001932
1933|179.47|115.7514|-47.9827|11449|UGC00316
1957|76.56|118.1569|-31.0117|6356|UGC00319
1961|111.69|317.1621|-75.2098|7807|ESO294-021
1970|39.81|113.4616|-59.9489|2394|UGC00320
1971|58.88|117.3285|-39.2709|4673|UGC00321
1977|38.55|51.7612|-85.5294|2929|IC0001553
1979|59.98|106.4761|-73.5887|4044|AGC400271
1982|86.70|118.1974|-31.9491|6118|AGC100293
1986|59.43|115.7071|-50.8743|4934|UGC00323
1987|64.57|118.2233|-32.0511|6060|AGC100295
2001|80.91|105.0433|-75.3799|6177|AGC400274
2003|79.43|115.1269|-54.6909|5399|UGC00327
2004|0.73|119.8170|-14.2528|-193|NGC147
2022|53.21|114.0287|-59.8821|4390|UGC00329
2023|79.43|117.6410|-39.2906|5181|AGC100303
2035|59.98|108.8612|-72.1003|3740|NGC0151
2052|24.21|21.8926|-86.1300|1580|AGC020385
2069|98.63|115.7546|-54.1847|9401|AGC100309
2071|18.03|354.0123|-85.2991|1530|IC0001555
2081|12.08|110.2745|-70.8576|1651|NGC0157
2085|52.97|118.5062|-34.3185|4177|UGC00345
2088|89.13|119.4540|-23.2148|5781|UGC00344
2094|77.27|118.8559|-30.7923|5908|UGC00346
2121|0.74|119.3342|-26.2548|-345|And3
2133|55.46|112.6653|-67.2888|5041|PG0002133
2134|93.33|116.3462|-53.5450|5330|UGC00351
2136|74.47|118.3692|-38.4961|5165|UGC00352
2139|79.07|116.3455|-53.6725|5067|UGC00353
2142|9.29|58.6007|-86.0752|1551|IC0001558
2151|33.42|110.3046|-72.3815|4933|AGC400305
2154|82.79|118.4261|-38.7785|5270|UGC00356
2159|116.95|118.2032|-41.2669|9284|UGC00357
2163|38.37|115.7377|-58.0231|4927|UGC00359
2194|125.31|118.3938|-41.1759|8937|UGC00364
2199|71.78|11.0859|-86.5440|7188|ES410-027
2202|97.72|118.6609|-38.7599|4617|UGC00365
2215|47.86|310.2381|-70.2802|3546|ESO242-018
2228|46.34|86.7985|-84.4318|3047|AGC020425
2231|74.13|119.2387|-33.6213|5293|UGC00371
2260|60.81|116.6681|-57.5598|5226|UGC00379
2261|74.82|119.6399|-30.0956|4834|UGC00376
2268|60.81|117.2470|-54.0877|5302|UGC00380
2272|131.22|307.3659|-63.3831|8391|ESO150-016
2288|38.73|118.2491|-47.7135|5379|UGC00386
2294|72.11|119.5655|-33.1618|5653|AGC100364
2302|82.04|119.6279|-32.4990|5427|UGC00388
2312|125.31|118.5925|-45.3609|5460|UGC00393
2316|87.10|119.3640|-37.0665|7247|AGC100377
2324|133.66|117.4146|-55.6748|12176|PGC002324
2329|0.63|120.7912|-14.4824|-203|NGC185
2332|82.79|113.1370|-71.6495|6130|IC1563
2342|42.07|117.3295|-56.7162|5255|UGC00399
2344|133.66|117.5512|-55.2499|12372|PGC002344
2358|96.83|27.5561|-87.2939|6882|ESO411-003
2372|144.54|117.5973|-56.0133|11157|IC1565
2383|90.78|318.4502|-80.9637|6445|AGC020450
2387|69.18|117.0302|-59.8485|5156|NGC00200
2390|69.50|117.9907|-53.7931|4438|UGC00418
2404|169.04|117.8325|-55.9092|11964|IC1568
2417|124.74|306.1442|-60.9051|8254|NGC0212
2429|0.81|120.7164|-21.1387|-241|NGC205
2430|150.66|118.0509|-56.0479|11329|IC1569
2431|133.66|118.0964|-55.8518|12184|UGC00429
2437|19.23|111.5724|-76.5049|1638|AGC400333
2438|104.71|67.0768|-87.0418|7408|ESO474-011
2445|18.37|304.9500|-53.6448|1712|ES079-005
2451|108.64|305.9644|-60.8514|8221|NGC0215
2454|66.68|111.9888|-76.4233|8457|PG0002454
2458|76.56|120.3554|-31.0871|4654|UGC00433
2479|59.98|120.1026|-37.3176|4555|UGC00438
2482|57.02|114.7171|-72.7355|3978|NGC0217
2501|205.12|115.2356|-72.0311|16699|PGC002501
2504|80.17|120.6170|-29.8374|4944|UGC00442
2517|160.69|120.8468|-26.0288|10644|UGC00444
2520|52.72|120.7017|-29.4252|6241|UGC00443
2526|24.89|109.1636|-80.7869|1554|AGC020471
2527|97.72|118.0526|-61.9394|5375|UGC00450
2553|69.50|120.6644|-32.9571|4861|UGC00453
2555|0.78|121.1499|-21.9763|-196|NGC221
2557|0.77|121.1743|-21.5731|-290|NGC0224
2559|85.51|93.6697|-85.9302|6684|NGC0232
2571|76.91|120.8891|-29.3151|6244|UGC00457
2578|4.92|101.1867|-84.7619|360|DDO226
2597|56.49|118.5479|-62.9288|4169|UGC00461
2611|85.11|89.9075|-86.7872|6766|AGC020489
2615|53.21|118.8955|-62.0104|5486|UGC00466
2616|85.11|118.1115|-67.0467|6824|AGC400367
2660|63.39|117.7905|-72.4407|6114|PGC002660
2666|0.75|121.6800|-24.8190|-376|And1
2679|74.13|319.2453|-85.7506|5812|ESO411-010
2692|95.06|306.6253|-74.5602|7221|ESO243-001
2699|35.16|121.2400|-43.3647|2650|UGC00477
2701|168.27|100.4635|-86.9236|10579|IC1582
2704|61.38|122.1141|-11.6461|5273|UGC00475
2726|158.49|121.8531|-26.5303|11148|PGC002726
2734|63.68|309.2551|-81.2727|7027|ESO351-005
2739|77.27|121.6533|-36.3846|4952|UGC00483
2743|62.23|121.8352|-30.1868|4875|UGC00484
2744|92.04|111.7369|-84.6213|6428|ESO540-021
2747|58.88|121.8312|-32.5211|5248|UGC00485
2758|3.52|113.9479|-83.5572|156|NGC0247
2765|47.21|121.1332|-54.9473|5278|UGC00487
2768|173.78|121.4404|-48.1563|11796|UGC00488
2769|143.22|121.5398|-47.1640|9436|AGC100563
2782|76.21|121.9586|-31.2082|5085|AGC100561
2784|93.33|121.5167|-48.7060|11564|AGC100564
2786|85.11|119.6071|-72.6986|5763|PGC002786
2789|3.56|97.3631|-87.9646|242|AGC020535
2800|75.16|119.8977|-72.6853|5772|PGC002800
2805|16.60|119.9027|-72.7498|1342|PG0002805
2806|56.23|121.7877|-43.2671|4565|UGC00490
2818|67.30|121.4756|-54.5650|5283|NGC00257
2819|66.07|122.0061|-35.2411|4938|NGC0252
2820|45.08|120.8842|-65.6339|4045|AGC400393
2865|73.79|122.2884|-34.6507|5103|UGC00501
2881|3.48|119.7842|-80.9343|224|ESO540-030
2889|80.91|121.9588|-61.7531|5282|UGC00507
2899|67.92|122.5149|-31.2691|5157|UGC00509
2902|3.39|119.4096|-83.8738|294|DDO6
2905|69.82|122.1003|-61.9066|4626|AGC100592
2914|54.20|122.4802|-41.1504|4542|UGC00510
2922|76.21|122.3319|-54.9517|5406|UGC00512
2928|71.45|122.6154|-31.1399|4602|UGC00511
2932|112.72|303.7725|-75.8831|7014|ESO295-012
2933|3.60|121.0094|-82.7744|228|ESO540-032
2942|134.28|303.5089|-74.0634|6933|ESO243-003
2963|69.82|111.0926|-89.3484|5516|ESO474-032
2970|257.04|121.5475|-84.7698|18654|XJ00505356
2980|19.41|122.6385|-69.9286|1721|N0274
3063|211.84|125.1077|-84.6986|17375|XJ00521819
3072|69.82|123.3061|-48.3527|5500|UGC00533
3076|155.60|123.2418|-38.5201|10177|UGC00534
3081|68.55|123.2326|-33.6638|4862|UGC00536
3085|0.06|302.8084|-44.3277|162|SMC
3089|24.77|299.1246|-85.9130|1628|NGC000289
3105|218.78|126.6902|-84.7022|17277|XJ00525595
3108|56.75|123.3355|-33.8382|4993|UGC00540
3120|90.78|123.4594|-40.9434|7305|UGC00541
3129|152.05|174.7097|-89.4673|10756|ESO474-038
3133|52.97|123.4572|-33.5993|4516|UGC00542
3138|257.04|128.1249|-84.7626|18173|XJ00532866
3144|67.30|302.3937|-59.0188|5976|IC1597
3147|84.72|123.9822|-59.9431|4906|UGC00544
3159|63.39|204.3115|-89.4853|5563|AGC020625
3162|100.93|301.5997|-71.9355|7325|IC1595
3165|76.56|298.3168|-83.8116|5381|AGC020628
3168|87.50|301.7064|-70.1497|8274|ESO243-009
