# http://edd.ifa.hawaii.edu/
# http://edd.ifa.hawaii.edu/dfirst.php
"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"
pgc|Dist|Glon|Glat|Vhel|Name
%7s|%6.2f|%8.4f|%8.4f|%5d|%10s
---|Mpc|deg|deg|km/s|
"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Galactic longitude"|"Galactic latitude"|"Heliocentric velocity"|"Common name"
13998|11.43|233.5517|-50.8149|1577|E359-003
13999|27.93|297.8116|-31.3857|1716|IC0002051
14024|106.17|181.7530|-34.3732|5732|AGC130341
14034|37.33|161.8461|-16.4704|4061|UGC02888
14055|109.65|209.9884|-46.9912|8535|ESO549-030
14071|14.79|239.0874|-50.4183|1041|NGC001484
14075|108.64|212.2556|-47.4312|7507|ES549-031
14077|20.04|237.5126|-50.3858|1370|I2006
14102|127.06|209.9785|-46.6656|8474|ES549-036
14116|78.34|261.0407|-47.8442|5853|ESO201-011
14123|9.46|135.5852|14.7641|1164|UGC02890
14132|103.28|216.1703|-47.8305|7432|NGC1486
14138|89.13|210.9658|-46.5512|6395|ESO549-038
14148|73.11|174.3321|-27.3438|8021|UGC02904
14149|8.13|174.3078|-27.3113|293|UGC02905
14155|127.06|212.0090|-46.6783|7535|ESO549-040
14157|51.76|221.4372|-48.5509|4457|ESO483-002
14169|12.25|257.1645|-48.2286|1130|NGC001494
14186|99.54|236.7224|-49.6170|4519|NGC1492
14191|51.76|183.1168|-33.5364|5507|UGC02910
14216|40.74|131.0163|19.7664|2226|UGC02896
14236|16.14|281.3710|-40.7267|1327|NGC001511
14238|158.49|262.4222|-46.9028|9793|IC2023
14241|2.98|139.7618|10.6534|71|UGCA86
14246|82.41|162.7252|-15.3291|5304|UGC02915
14251|85.11|273.7730|-43.6769|5795|ESO117-018
14255|24.66|281.5219|-40.5807|1292|NGC1511A
14259|55.21|221.3699|-47.7933|4131|AGC023111
14276|59.43|161.1938|-13.4343|4184|UGC02920
14286|62.52|135.0444|15.8601|2492|UGC02906
14299|139.96|262.3518|-46.6597|9971|IC2028
14319|60.53|246.6181|-48.6857|4437|AGC023139
14333|65.46|168.0289|-19.9028|5745|UGC02931
14337|67.92|274.8835|-42.9740|5387|ESO117-019
14345|42.07|188.5108|-35.5457|3810|UGC02936
14391|11.97|248.6681|-48.1658|900|NGC001512
14397|17.30|264.0947|-45.8511|1182|NGC001515
14409|10.14|193.0644|-37.5577|865|UGC02947
14449|52.48|186.5719|-33.5324|5342|UGC02954
14468|58.61|164.7201|-15.3449|4542|UGC02956
14475|8.28|216.3313|-45.3069|923|AGC023188
14502|47.42|187.4126|-33.3890|5306|UGC02963
14505|72.78|228.6203|-47.1022|4132|ESO420-003
14506|73.11|251.0343|-47.2653|5031|ESO250-006
14514|17.86|211.2106|-43.6813|1833|AGC023201
14520|69.50|216.3124|-44.9350|4218|N1521
14526|17.06|255.1461|-46.7096|1176|N1527
14551|43.25|183.3627|-30.3984|3571|UGC02966
14558|9.59|251.6865|-46.9843|1504|IC2035
14559|48.75|192.7721|-36.0382|5073|UGC02969
14573|48.98|217.4044|-44.8815|4441|AGC023222
14582|20.51|266.4482|-44.4329|792|N1533
14596|60.26|219.9862|-45.2122|4237|ESO483-012
14638|20.04|233.1684|-46.5841|1201|NGC001532
14659|19.59|268.4061|-43.5443|1167|N1543
14665|61.09|189.8775|-33.2607|5017|UGC02983
14695|23.12|231.4598|-46.1000|1407|N1537
14718|48.31|189.7827|-32.7431|3319|UGC02994
14757|18.20|265.4054|-43.8013|1243|N1549
14765|18.37|265.6313|-43.6911|1148|N1553
14790|45.71|189.8551|-32.0187|3584|UGC03002
14791|127.64|200.8102|-37.6057|8916|PG0014791
14794|125.31|213.1161|-41.9001|9572|NGC1547
14814|12.59|274.5105|-41.1983|1302|NGC001559
14853|38.73|170.5286|-16.9461|3750|UGC03009
14897|6.61|264.3102|-43.3932|1504|NGC001566
14901|95.06|193.2114|-32.9706|5111|P0014901
14906|67.92|250.6669|-45.0754|4542|NGC1558
14936|10.96|218.6130|-42.3116|898|ES550-024
14950|101.39|213.6998|-40.9452|8936|ESO550-026
14965|19.32|266.8939|-42.5846|1043|N1574
15018|20.42|135.2231|17.7646|2459|UGC03013
15019|109.65|263.8668|-42.9507|11571|IC2066
15027|58.08|194.8831|-32.7142|4986|UGC03029
15041|151.36|262.0521|-43.1233|12045|PGC015041
15079|145.88|259.6263|-43.2646|11115|ESO202-017
15148|60.53|296.8589|-30.7861|4836|ESO004-013
15153|15.35|264.0706|-42.3094|1511|N1596
15200|150.66|262.3280|-42.4605|10750|IC2079
15204|48.98|254.2897|-43.3801|5107|NGC1598
15205|164.44|261.8882|-42.5120|13039|PGC015205
15225|121.34|138.9407|15.1560|7413|UGC03043
15238|194.98|262.6804|-42.3163|13197|PGC015238
15261|79.80|274.0150|-39.9029|5971|ESO084-020
15271|137.40|262.4084|-42.3068|12736|PGC015271
15273|74.13|239.0308|-43.3778|4226|ES360-013
15276|51.52|225.6110|-41.7923|4114|NGC1591
15331|45.71|195.4015|-31.0265|3567|NGC001586
15345|3.25|143.6821|11.2420|-95|NGC1569
15348|79.07|201.0461|-33.7628|4331|NGC1594
15355|67.30|189.8455|-27.7449|4642|UGC03066
15356|27.54|197.1546|-31.8376|2518|UGC003070
15387|55.98|199.1743|-32.7262|4779|AGC440177
15388|20.99|263.1098|-41.9082|983|IC2085
15439|3.22|144.7054|10.5165|-102|UGCA92
15455|26.79|256.7618|-42.5516|1877|ES202-035
15458|176.20|193.6638|-29.5998|10231|UGC03083
15461|63.10|167.1959|-10.0659|5419|UGC03078
15479|63.10|248.6596|-42.9363|4462|NGC1616
15481|45.08|185.7441|-24.5550|4062|UGC03084
15488|2.99|138.3683|16.0207|-38|NGC1560
15510|143.88|223.2705|-40.4634|12453|ESO484-030
15517|75.86|215.8826|-38.5914|6274|AGC023540
15522|149.97|209.4733|-36.4726|8909|PGC015522
15524|150.66|209.5866|-36.4877|9837|PGC015524
15525|150.66|209.4905|-36.4369|9729|PGC015525
15536|150.66|209.8543|-36.4986|9694|PGC015536
15544|151.36|209.7767|-36.4114|10401|PGC015544
15586|109.65|203.3777|-33.5500|9038|AGC440286
15604|80.17|137.7181|16.8696|4305|UGC03085
15611|36.98|199.0746|-31.3194|4888|NGC01618
15635|66.37|199.1887|-31.2311|4847|AGC440300
15638|39.08|196.1557|-29.6695|3514|UGC03103
15654|56.75|199.3761|-31.1820|4762|AGC440304
15665|68.87|281.2010|-36.9272|5515|ESO055-029
15673|65.46|196.4531|-29.5328|3715|UGC03109
15674|57.02|200.8884|-31.7691|3696|AGC440307
15691|57.28|205.9934|-33.9385|4999|AGC440309
15693|82.41|138.3285|16.6023|4784|UGC003092
15708|41.50|159.9165|-1.9343|3958|UGC03108
15722|118.03|275.1947|-38.4790|8676|ESO084-033
15737|137.40|220.7326|-38.4263|9362|ESO551-025
15753|77.27|221.1312|-38.4388|5512|ES485-005
15758|71.45|289.6546|-33.6498|4322|IC2103
15760|76.56|189.8526|-25.0674|4685|UGC03122
15767|73.45|205.6180|-33.2172|4912|AGC440314
15779|80.17|201.4156|-31.2708|4503|PG0015779
15789|28.84|198.5771|-29.8236|3346|UGC03127
15793|53.95|142.9674|13.1636|3723|UGC03114
15798|75.16|220.5542|-38.0631|8616|ESO551-026
15810|53.46|137.3262|17.6309|4487|UGC03110
15821|17.46|199.5589|-30.0146|718|NGC1637
15824|44.46|198.5343|-29.4584|3298|UGC03133
15831|88.31|203.9210|-31.9929|4528|AGC440326
15846|119.67|178.9934|-16.9024|7396|UGC03135
15864|124.17|292.2900|-32.3783|9510|ESO015-014
15899|77.98|245.6528|-40.8365|5212|NGC1658
15931|169.04|213.8967|-34.9433|10791|NGC1650
15937|54.20|187.1064|-21.6657|4607|UGC03151
15950|38.90|215.5724|-35.3113|3494|AGC440345
15967|22.39|135.2267|19.5529|993|UGC03137
15977|61.94|202.2110|-29.8646|4667|AGC440348
15985|114.82|273.4433|-37.9734|6976|ESO085-002
15986|72.11|140.5236|15.7829|4560|UGC03143
15992|56.23|189.8251|-22.9470|4650|UGC03162
16016|95.50|215.8280|-34.9642|8989|PGC016016
16026|64.57|272.8885|-37.9613|5151|ESO085-004
16028|169.82|213.8075|-34.2176|11783|IC0393
16030|19.05|136.5638|18.7560|1637|UGC03144
16036|64.27|225.1286|-37.3843|4564|AGC023740
16056|118.58|223.5926|-36.9124|8160|ESO485-015
16092|87.10|145.7293|12.1854|4736|UGC03167
16116|61.94|238.8077|-39.2335|5331|AGC023777
16118|55.46|208.8475|-31.8259|4479|AGC440373
16120|9.68|233.5645|-38.5517|1052|AGC023772
16144|48.31|203.4252|-29.2363|2820|IC002098
16165|95.94|216.4030|-34.1828|9499|ESO552-014
16166|59.43|236.1148|-38.6082|5478|NGC001687
16187|53.95|204.3775|-29.4043|4521|AGC440388
16189|61.38|191.8511|-22.7377|4732|UGC03187
16191|63.10|194.7609|-24.4436|4578|UGC03186
16199|15.56|235.1861|-38.3543|1169|ES361-015
16205|141.91|217.4975|-34.3078|9574|E552-015
16232|102.33|197.1772|-25.4809|8918|UGC03192
16239|89.13|214.1710|-33.0259|5703|AGC440399
16249|133.66|216.8207|-33.8531|10240|ESO552-018
16282|5.51|261.0784|-38.7432|628|NGC1705
16301|65.46|141.2912|16.0915|4562|UGC03189
16302|59.70|210.9682|-31.3799|4922|AGC440406
16315|111.69|217.4565|-33.6204|9397|ESO552-020
16322|50.35|202.6879|-27.6629|3850|P0016322
16334|64.86|222.7598|-35.0740|6824|ESO485-024
16338|101.86|233.6630|-37.3602|5734|ES422-010
16359|71.78|196.8057|-24.3019|4563|UGC03207
16367|71.12|215.0411|-32.4416|5500|AGC440415
16373|73.11|229.6973|-36.3992|4973|IC0002106
16379|45.50|209.5203|-30.2324|4109|AGC440418
16386|45.50|203.6993|-27.6137|3891|N1700
16389|6.95|247.5401|-38.5030|661|ESO252-001
16390|51.05|203.5980|-27.5504|3944|NGC1699
16400|54.95|197.2243|-24.1779|4186|UGC03211
16420|64.86|199.2167|-25.0834|4910|UGC03214
16423|14.39|142.6456|15.5196|882|UGC03203
16447|66.99|199.7260|-25.1826|4188|PGC016447
16448|66.99|199.7099|-25.1654|4161|PGC016448
16462|67.30|199.6628|-25.0891|4726|NGC1709
16469|84.33|192.7520|-21.1859|8479|UGC03219
16471|66.99|199.6972|-25.0560|4433|NGC1713
16472|69.82|273.3639|-36.5759|4993|NGC1771
16494|40.93|216.2108|-32.0330|3443|PGC016494
16504|80.54|219.1415|-32.9597|6775|ES552-043
16507|55.46|210.5823|-29.8707|3674|AGC440444
16515|73.11|218.4454|-32.6562|5617|ESO552-044
16517|9.64|226.9943|-35.0221|741|AGC023923
16529|37.67|202.6495|-26.1645|3635|NGC1729
16537|67.61|147.8877|12.1810|5225|UGC03218
16567|31.77|273.2832|-36.2945|1300|ES085-030
16595|55.72|221.5459|-33.0851|4591|ESO552-052
16600|44.06|207.7614|-28.0086|3577|NGC01752
16603|84.72|232.4057|-35.6492|6384|ES422-023
16611|53.95|215.4357|-30.9731|4305|AGC450003
16613|60.53|199.5018|-23.8951|4831|UGC03231
16615|114.29|221.3616|-32.8792|9734|ESO552-054
16625|97.27|220.7651|-32.6300|7335|ESO552-057
16626|72.11|218.9935|-32.0717|5328|ESO552-056
16636|55.46|202.6473|-25.3017|4318|AGC450005
16645|97.27|220.4557|-32.4017|7501|ESO552-059
16646|58.08|199.2311|-23.4960|4194|UGC03237
16650|134.28|193.7134|-20.3687|8516|UGC03236
16653|238.78|224.1745|-33.4093|12399|PGC016653
16654|100.93|198.3947|-23.0014|4753|NGC01762
16659|134.90|224.9670|-33.5531|12430|ESO486-023
16678|89.95|217.3266|-31.0958|6849|AGC450008
16680|103.75|263.6272|-37.0391|6559|ESO158-017
16687|119.12|195.8651|-21.2581|6055|UGC03242
16702|58.88|234.1636|-35.3578|3954|AGC024016
16703|106.17|219.4521|-31.6578|7830|ESO552-065
16709|11.48|241.6962|-36.4519|1208|AGC024019
16716|26.92|211.8855|-28.8404|2316|AGC450011
16717|152.05|221.6434|-32.2560|9288|ESO552-069
16722|63.39|144.1908|15.3564|3960|UGC03235
16751|63.10|218.0388|-30.8103|4462|AGC024033
16761|11.27|268.7849|-36.2536|1248|NGC001824
16764|97.27|196.6475|-21.0211|8934|UGC03248
16779|9.08|241.2120|-35.9016|995|NGC_1808
16782|128.23|220.4063|-31.3060|9526|ESO553-006
16790|14.45|242.2024|-35.9414|1021|ES305-009
16800|147.91|284.7245|-33.2692|8655|ESO033-015
16854|100.93|231.6698|-33.7270|6977|AGC024091
16874|59.43|219.4328|-30.1402|3569|AGC024101
16875|31.05|210.0186|-26.5219|2669|AGC450026
16878|32.66|220.7261|-30.5413|1968|AGC024102
16897|75.16|144.1204|16.1203|6113|UGC03252
16899|59.70|196.1724|-19.3954|4483|NGC1819
16906|22.28|216.6118|-28.9020|1936|AGC450033
16911|26.18|265.8320|-35.8171|1411|NGC001853
16920|66.99|244.2378|-35.3034|4940|ESO305-014
16924|121.90|246.4043|-35.4737|9824|ESO305-015
16932|159.96|226.7938|-31.8312|10069|ESO486-036
16934|121.34|223.7800|-30.9678|9062|ESO553-026
16951|112.72|195.3005|-18.2112|8932|UGC03269
16953|146.55|230.0347|-32.4616|10438|ESO423-001
16955|55.46|139.9275|18.8668|4938|UGC03259
16957|3.39|148.5212|13.6572|102|UGCA105
16964|107.65|271.6140|-35.0159|4919|ESO119-046
16975|172.98|196.4045|-18.6205|8844|AGC150046
16983|20.51|233.2987|-32.9518|1468|ES423-002
16984|133.05|195.5080|-17.9781|8640|UGC03270
16989|109.14|194.8960|-17.5411|8906|AGC150059
16996|138.68|225.3755|-30.8282|10306|ESO486-041
17017|100.46|195.6671|-17.6993|9304|PGC017017
17018|81.66|195.6516|-17.6937|7115|PGC017018
17022|103.75|195.7279|-17.7701|7448|PGC017022
17025|115.88|195.7121|-17.7205|8308|PGC017025
17027|18.62|241.0788|-34.0802|1344|ES362-011
17028|111.69|195.6823|-17.6565|7198|PGC017028
17031|113.24|195.5690|-17.5949|7965|UGC03275
17033|125.31|195.6522|-17.5996|9698|PGC017033
17042|14.93|274.9175|-34.3164|1359|NGC001892
17044|130.02|195.3491|-17.3533|8399|UGC03279
17047|91.62|196.0764|-17.7336|9687|PGC017047
17049|124.17|225.8128|-30.5589|9282|
17053|79.07|195.5264|-17.3217|8246|UGC03282
17056|44.46|217.0388|-27.5832|2823|AGC450046
17058|75.51|202.8721|-21.2902|4494|UGC03283
17064|58.08|232.5269|-32.1783|4505|AGC024169
17077|66.07|299.1502|-28.4988|4671|ESO004-019
17078|111.17|219.2439|-28.0840|7010|ESO553-032
17084|70.15|146.3049|15.6676|5116|UGC03277
17089|70.15|271.9685|-34.4187|4922|ESO085-069
17092|90.78|270.9147|-34.5162|4914|ESO119-052
17104|61.09|128.9602|24.6827|4121|UGC03253
17117|111.17|223.0034|-29.1151|8708|ESO553-036
17125|83.56|196.0528|-16.9079|8876|UGC03289
17126|120.23|196.7358|-17.2668|8569|AGC150148
17136|59.43|196.1081|-16.8415|4335|UGC03291
17157|15.63|241.1009|-33.1856|1287|E362-019
17162|66.99|139.8752|19.5134|4704|UGC03284
17174|31.33|226.2527|-29.6357|1754|NGC01886
17176|113.76|196.1988|-16.4904|9395|PGC017176
17211|155.60|220.1287|-27.3256|12543|ESO553-039
17223|0.05|280.4652|-32.8883|284|LMC
17224|85.11|222.2736|-27.9295|5005|ESO553-040
17229|48.08|219.4871|-26.8688|3187|AGC450056
17239|58.34|270.4861|-33.9233|5344|ESO120-001
17242|116.95|231.6915|-30.4676|9465|ESO423-012
17243|24.77|218.2139|-26.1775|2974|NGC01906
17274|71.45|244.7591|-32.8047|4550|ESO305-025
17294|104.71|221.7942|-26.9746|8227|ESO553-044
17302|6.70|223.3685|-27.4239|542|ESO553-046
17319|43.85|208.0648|-20.9546|2544|AGC450061
17329|61.38|246.7201|-32.5350|4186|ESO306-002
17336|160.69|288.1171|-31.1152|9801|ESO033-020
17337|129.42|223.8086|-27.1216|8180|ESO554-001
17338|41.69|253.6998|-33.2174|4269|ESO253-007
17346|77.27|298.5927|-28.4875|4664|ESO004-020
17357|127.64|226.9652|-27.8952|9034|ESO487-016
17372|98.17|271.6162|-33.1476|8314|ESO120-003
17395|31.77|213.4005|-22.3857|2719|P0017395
17397|63.10|284.9608|-31.5125|4377|ESO033-022
17402|17.86|226.4034|-27.2408|1827|IC0002130
17415|53.95|216.9844|-23.6728|3373|IC002132
17418|141.25|233.4556|-29.0897|10709|ESO423-019
17433|15.35|241.0484|-30.6880|1322|AGC024358
17436|22.70|225.2757|-26.5029|1660|AGC024354
17456|96.83|142.7312|19.2285|4216|UGC03319
17475|89.54|213.4101|-21.4985|7039|AGC450071
17478|58.88|257.9864|-32.5252|4536|NGC2007
17480|130.62|258.0406|-32.5164|10310|NGC2008
17504|66.68|197.5027|-13.0710|3863|UGC03328
17509|65.77|189.4015|-8.2302|5265|UGC03329
17511|71.45|226.0632|-25.9208|4895|ESO554-019
17513|44.46|222.1463|-24.5444|2861|AGC024404
17520|158.49|251.4865|-31.5671|10834|ESO253-016
17541|136.14|232.3161|-27.4639|10742|ESO424-003
17543|205.12|233.6355|-27.7885|10828|ESO424-004
17561|77.62|136.0142|22.6185|4089|UGC03326
17562|161.44|247.0854|-30.4844|11704|ESO306-015
17563|100.46|245.1940|-30.1594|10737|ESO306-014
17595|15.14|240.6970|-28.9941|1264|ES363-015
17597|54.70|222.2602|-23.4230|3274|AGC024452
17612|131.22|230.4320|-26.0424|11047|PGC017612
17613|131.83|230.4076|-26.0357|11573|PGC017613
17619|16.14|227.0895|-24.9757|1724|ES487-035
17622|132.43|230.4912|-26.0507|11906|PGC017622
17627|132.43|230.4014|-25.9772|11988|PGC017627
17630|113.76|229.8099|-25.8091|8529|PGC017630
17633|113.76|229.8196|-25.7870|9016|ESO487-036
17637|147.91|231.1466|-26.1580|12897|ESO487-037
17640|105.68|263.3898|-31.6639|6763|ESO159-024
17655|24.21|222.8149|-23.1399|2083|E554-028
17657|62.52|234.7006|-27.0190|2988|NGC02049
17668|32.81|223.5308|-23.2490|2737|AGC024486
17669|162.93|230.9154|-25.7666|13146|ESO488-002
17673|180.30|230.3023|-25.5581|11889|PGC017673
17689|134.90|230.5538|-25.5210|11352|PGC017689
17691|200.45|230.5385|-25.5018|11700|PGC017691
17692|83.56|143.9958|19.6304|3959|UGC03342
17695|245.47|230.6797|-25.5390|13677|PGC017695
17699|201.37|230.5765|-25.4933|12827|PGC017699
17709|199.53|230.4490|-25.3693|13354|PGC017709
17711|133.05|230.4309|-25.3625|12665|PGC017711
17721|131.22|230.3107|-25.2897|10762|PGC017721
17735|131.83|230.3313|-25.2278|11556|ESO488-006
17736|12.59|141.0647|20.9707|1086|UGC03343
17741|215.77|230.4493|-25.2453|13761|PGC017741
17744|137.40|230.4886|-25.2481|13368|ESO488-009
17787|203.24|149.7168|17.2090|14690|PGC017787
17791|179.47|228.0140|-24.2270|8930|ESO488-012
17798|133.66|230.0040|-24.8360|13385|PGC017798
17804|42.85|221.3114|-21.6437|2145|NGC002076
17810|39.26|223.2548|-22.3764|3051|IC2143
17813|215.77|230.2980|-24.8455|13612|ESO488-013
17819|11.86|239.4571|-27.4284|921|AGC024538
17822|17.95|258.9198|-30.6963|1167|NGC2104
17831|52.48|156.4512|13.9733|3088|UGC03354
17834|133.05|230.2735|-24.7187|13099|ESO488-016
17835|214.78|229.9452|-24.6142|12626|ESO488-015
17837|214.78|229.9387|-24.6045|12768|ESO488-019
17838|124.17|229.7924|-24.5558|11594|ESO488-018
17847|133.05|230.2594|-24.6763|12807|PGC017847
17849|131.83|230.6548|-24.7703|11315|PGC017849
17850|166.72|235.3667|-26.2140|11190|ESO424-021
17855|133.05|230.4844|-24.6983|12760|PGC017855
17856|160.69|230.2876|-24.6323|10863|PGC017856
17864|129.42|239.1496|-27.1337|10820|ESO363-026
17889|133.05|230.1536|-24.4076|12651|PGC017889
17893|132.43|230.2778|-24.4277|11874|ESO488-027
17898|132.43|230.2847|-24.4105|12004|PGC017898
17901|100.00|244.8151|-28.2943|7194|ESO306-028
17902|132.43|242.2646|-27.7382|7693|ESO363-029
17924|214.78|230.4649|-24.3507|12703|PGC017924
17929|132.43|230.2031|-24.2304|11851|ESO488-033
17958|131.83|230.6605|-24.2307|11354|PGC017958
17959|131.83|230.6980|-24.2293|11557|PGC017959
17969|44.46|224.5972|-21.9770|2369|AGC024602
17993|79.43|261.3306|-30.2712|4502|ESO160-002
18000|41.11|244.1417|-27.6348|3117|IC002150
18007|73.45|163.4850|10.9559|5913|UGC03366
18011|52.24|267.6649|-30.6125|3675|ESO120-016
18013|65.46|171.2579|6.6407|5197|UGC03368
18036|107.65|233.5894|-24.5761|8290|ESO424-035
18038|89.54|242.7314|-27.0595|7641|ESO364-008
18039|85.90|146.7192|19.2814|5151|UGC03365
18040|30.62|222.8865|-20.7581|3111|IC2151
18042|134.90|240.3385|-26.3949|10639|ESO364-009
18047|40.74|223.0130|-20.7081|3123|AGC450098
18053|88.31|225.4337|-21.5042|8469|ESO555-011
18089|65.16|160.8443|13.0629|5791|UGC03375
18092|59.43|288.3140|-29.5279|4733|IC2160
18099|65.16|228.1857|-21.9508|3303|ESO488-044
18112|136.14|271.7979|-30.1518|8270|ESO086-041
18115|56.23|225.1374|-20.6635|2774|E555-013
18137|207.01|245.7734|-26.7716|13926|PGC018137
18147|44.67|225.6643|-20.4985|2963|AGC024702
18148|28.58|228.7451|-21.6484|1866|IC0002152
18151|106.66|244.7843|-26.4248|10083|ESO307-009
18169|30.90|231.0632|-22.2833|1798|ES488-049
18181|63.97|135.1949|23.9997|4758|UGC03373
18219|152.05|248.7381|-26.8613|10386|ESO307-012
18223|119.67|225.5378|-19.8057|8346|ES555-018
18232|31.05|234.8677|-23.1015|1390|AGC024739
18258|36.98|229.5275|-21.1343|1836|NGC2139
18259|18.20|227.6048|-20.4162|1772|AGC024745
18266|136.77|231.9428|-21.9301|12031|ESO488-055
18289|224.91|246.3661|-25.9945|12792|PGC018289
18315|24.89|218.8358|-16.3815|2213|IC0441
18361|120.78|242.0798|-24.4796|9756|ESO364-027
18369|47.86|226.5589|-19.1747|2893|AGC024782
18373|30.62|219.1517|-16.0231|2217|PGC018373
18377|23.66|232.2957|-21.2572|1803|AGC024789
18379|76.21|284.2325|-29.2368|4500|NGC2199
18387|97.72|256.8474|-27.5191|8648|ESO205-018
18391|115.35|253.0271|-26.7978|9125|ESO254-012
18392|165.96|252.3250|-26.6446|12697|ESO254-013
18393|138.04|225.3747|-18.4359|7938|ESO555-033
18394|29.38|299.2013|-27.7466|1870|ES005-004
18398|97.27|261.6621|-28.1206|10110|ESO160-013
18409|101.39|153.4094|18.1631|7046|UGC03398
18418|169.82|277.0314|-29.1536|11311|ESO086-059
18421|114.82|240.3001|-23.3841|11490|PGC018421
18431|9.64|240.7415|-23.3980|774|AM0605-341
18437|21.48|270.9720|-28.8166|1211|ES121-006
18440|143.22|239.7221|-23.0414|8418|PGC018440
18445|25.70|229.9387|-19.6572|2223|ES489-006
18446|134.28|254.8645|-26.7342|9067|ESO254-022
18454|95.50|225.8096|-17.9561|6750|ESO555-037
18466|113.76|281.8044|-29.0162|10533|ESO057-069
18467|61.94|149.4422|19.9719|4280|PGC018467
18484|57.81|231.6791|-20.0278|5904|ESO489-008
18506|193.20|240.2980|-22.7931|11195|PGC018506
18507|202.30|240.2210|-22.7662|10297|PGC018507
18509|192.31|240.5221|-22.8486|11295|PGC018509
18511|90.36|226.8113|-17.9625|6740|ES555-040
18513|106.66|240.2671|-22.7493|11147|PGC018513
18517|134.28|240.5712|-22.8118|11428|PGC018517
18521|189.67|240.2889|-22.7194|11300|PGC018521
18522|156.31|240.2897|-22.7009|11492|PGC018522
18526|136.14|240.3900|-22.7364|11141|PGC018526
18531|100.93|240.2526|-22.6719|11255|PGC018531
18533|49.66|229.3034|-18.8470|2784|ESO489-011
18537|165.20|240.1958|-22.6102|11463|PGC018537
18541|145.21|240.4243|-22.6406|9006|PGC018541
18554|134.90|240.2715|-22.5488|11487|PGC018554
18557|16.90|142.8017|22.4445|1264|UGC03403
18563|115.88|269.8948|-28.3349|8783|ESO121-010
18564|211.84|240.4988|-22.5632|11349|PGC018564
18568|177.83|152.2144|19.2228|6798|UGC03411
18571|101.39|240.5128|-22.5454|11684|PGC018571
18578|126.47|240.0767|-22.3714|11522|PGC018578
18579|128.82|240.0853|-22.3702|11492|PGC018579
18581|27.16|222.5544|-15.7800|2064|P0018581
18592|136.77|239.9374|-22.2004|11059|PGC018592
18612|159.22|264.8073|-27.5739|10724|ESO160-018
18616|105.20|271.7173|-28.2824|10558|ESO121-013
18656|152.76|249.7737|-24.5890|11667|ESO307-024
18662|46.99|144.5868|22.1576|4003|UGC03416
18675|108.14|250.2352|-24.5877|9357|ESO254-043
18701|131.22|247.0865|-23.6039|10363|ESO307-027
18708|82.79|226.6899|-16.5021|5649|ESO556-005
18719|77.27|134.1679|25.0827|4003|UGC03412
18731|6.08|266.5055|-27.3173|582|ESO121-20
18736|77.98|233.8998|-19.1312|6275|AGC024966
18737|158.49|263.2792|-26.8523|10662|ESO160-021
18747|61.94|157.3379|17.9731|4998|UGC03432
18764|46.77|132.6454|25.4691|4213|UGC03413
18765|29.11|234.6076|-19.1344|1702|AGC024981
18781|49.89|228.5245|-16.5736|2573|AGC024990
18791|98.63|275.8456|-27.9478|8083|ESO087-003
18805|77.98|224.7446|-14.6457|6176|AGC460016
18847|110.15|240.9113|-20.5124|7276|ESO365-007
18855|10.42|217.1102|-10.6130|732|P0018855
18873|103.75|274.7245|-27.5361|8005|NGC2230
18879|76.21|252.5820|-23.7612|4645|ESO255-005
18880|40.36|268.8654|-26.8738|2267|ES121-026
18906|86.30|274.6695|-27.4346|8299|NGC2235
18923|65.16|278.9464|-27.6887|4354|ESO057-080
18947|141.25|231.3356|-16.2389|11794|ESO489-046
18953|83.95|231.1408|-16.1301|7188|ESO489-047
18960|18.88|135.5332|25.1932|1507|NGC2146A
18964|46.56|205.5970|-3.9275|2895|UGC03459
18983|57.81|230.6462|-15.7260|2864|ES489-050
19015|87.90|228.0997|-14.4012|6587|ESO556-022
19024|103.75|235.9491|-17.5462|7056|AGC025099
19030|30.06|230.2082|-15.2107|2256|NGC02227
19033|141.25|244.5052|-20.5397|11135|ESO365-019
19041|6.31|234.3185|-16.8088|492|ESO489-056
19064|31.19|155.8723|20.0212|2685|IC002166
19065|139.32|270.5676|-26.4287|9776|ESO121-032
19125|102.33|238.5266|-17.7381|7451|ESO426-015
19173|33.57|232.3202|-14.8427|2840|AGC025162
19175|71.78|282.1134|-27.2294|4292|ESO058-003
19186|84.72|164.9911|17.4483|6497|UGC03477
19201|20.23|235.3108|-15.8328|1824|ES490-010
19250|83.18|242.7230|-18.2948|7016|ESO365-028
19252|137.40|174.1702|14.1809|5216|UGC03487
19255|33.42|233.7711|-14.7698|2709|E490-014
19260|86.30|243.2954|-18.4172|6875|NGC002255
19325|83.18|165.5906|18.2463|5786|
19337|6.34|235.1259|-14.2963|501|ESO490-17
19349|18.88|260.9921|-22.9825|1029|ESO206-017
19355|27.42|234.0882|-13.7245|2741|NGC02263
19360|29.24|229.8482|-11.7975|2659|AGC025251
19363|66.37|244.1005|-17.6646|6675|AGC025256
19368|154.17|245.5169|-18.1366|9093|ESO366-005
19385|70.47|193.0794|6.8092|5368|UGC03505
19391|80.54|247.1183|-18.5203|5350|ESO308-023
